"","BAT_ID","Batting_order"
"324","boted002",8
"325","carav001",6
"326","dicka001",4
"327","solad001",1
"328","castw002",6
"329","hicka001",3
"330","pereh001",6
"331","rogej004",8
"332","vogts001",4
"333","whitt002",8
"334","hampg001",7
"335","goodb001",6
"336","incie001",8
"337","kempt001",9
"338","martn003",2
"339","mejif001",6
"340","gallc001",8
"341","locat001",1
"342","herro001",6
"343","kinei001",9
"344","harrj002",1
"345","morem001",3
"346","dickc002",6
"347","dietd001",4
"348","murpt002",5
"349","adrie001",7
"350","beckg001",9
"351","martl004",1
"352","maybc001",8
"353","stram002",9
"354","darnt001",5
"355","gonzc001",5
"356","mckib001",8
"357","osunj001",4
"358","freem002",9
"359","sevep001",6
"360","stasm001",8
"361","casac001",7
"362","florw001",5
"363","longs001",1
"364","parrg001",7
"365","difow001",7
"366","fedet001",9
"367","frazc001",7
"368","pradm001",6
"369","vargi001",2
"370","beatm001",6
"371","hernm003",9
"372","joycm001",9
"373","knapa001",8
"374","diazi001",6
"375","tuckc001",8
"376","ervip001",6
"377","pinam001",7
"378","owinc001",7
"379","shawt001",7
"380","solan001",4
"381","vilom001",8
"382","bourj002",3
"383","smitd008",6
"384","broxk001",8
"385","loweb001",5
"386","bumgm001",9
"387","flahj002",9
"388","lowen001",5
"389","vanmj001",1
"390","degrj001",9
"391","dubom001",8
"392","healr001",8
"393","nolaa001",9
"394","smitk002",7
"395","stras001",9
"396","syndn001",9
"397","tilsc001",9
"398","wadet002",9
"399","buehw001",9
"400","hereg002",9
"401","farmk001",8
"402","thaim001",8
"403","wietm001",8
"404","friem001",9
"405","genns001",6
"406","hundn001",9
"407","kersc001",9
"408","rickj001",6
"409","rojaj001",2
"410","ryu-h001",9
"411","wendj002",7
"412","alcas001",9
"413","castw003",9
"414","kellm002",9
"415","wheez001",9
"416","corbp001",9
"417","herrr002",8
"418","mikom001",9
"419","sorom001",9
"420","tehej001",9
"421","hudsd002",9
"422","maedk001",9
"423","murpj001",8
"424","petej002",5
"425","robed004",9
"426","waina001",9
"427","cavej001",9
"428","descd001",7
"429","freed001",3
"430","ramih003",5
"431","slata001",2
"432","tovaw001",8
"433","ray-r002",9
"434","riddj001",6
"435","taylm002",8
"436","alleg002",9
"437","grayj003",9
"438","matzs001",9
"439","camaj001",6
"440","culbc001",9
"441","musgj001",9
"442","quinj001",9
"443","quinr003",9
"444","samaj001",9
"445","smitw003",8
"446","travs001",6
"447","fishd001",1
"448","hecha001",7
"449","hoern001",8
"450","siscc001",4
"451","brosm001",6
"452","darvy001",9
"453","duvaa001",5
"454","greiz001",9
"455","castl003",9
"456","garnd001",8
"457","hendk001",9
"458","willm008",8
"459","deana001",7
"460","rondj002",7
"461","willn001",9
"462","arteh001",7
"463","jay-j001",6
"464","kangj001",7
"465","nunee002",8
"466","oneit001",4
"467","spanc001",7
"468","toroa001",7
"469","rodgb002",7
"470","daviz001",9
"471","marqg001",9
"472","orter001",8
"473","buted001",8
"474","efliz001",9
"475","lopet001",7
"476","luccj001",9
"477","lux-g001",7
"478","mcgur002",9
"479","arrij001",9
"480","braus002",9
"481","cozaz001",8
"482","smitc006",9
"483","stame001",9
"484","dudal001",7
"485","herrc001",8
"486","lylej001",9
"487","brows003",5
"488","dazay001",7
"489","goinr001",2
"490","happi001",7
"491","heins001",7
"492","lauee001",9
"493","sanca004",9
"494","senza001",9
"495","bemba001",9
"496","cervf001",3
"497","delmn001",6
"498","grays001",9
"499","gutik001",7
"500","krate001",8
"501","reyep001",9
"502","astuw001",5
"503","lestj001",9
"504","willt002",9
"505","austt001",3
"506","duffm002",6
"507","schem001",9
"508","stewd002",7
"509","vargj001",9
"510","beedt001",9
"511","chany001",9
"512","davij008",7
"513","keucd001",9
"514","mullc002",9
"515","sches001",5
"516","valap001",7
"517","andec001",9
"518","fordm002",7
"519","mcbrr001",6
"520","munoy001",9
"521","archc001",9
"522","paddc001",9
"523","pears001",7
"524","reynm001",9
"525","millb002",8
"526","philb002",8
"527","sucrj001",8
"528","woodb005",9
"529","hamec001",9
"530","wachm001",9
"531","foltm001",9
"532","richt001",9
"533","kniza001",8
"534","rodrs002",7
"535","salat001",8
"536","wynna001",8
"537","josec002",8
"538","lopep002",9
"539","negrk001",8
"540","nuned001",8
"541","swihb001",6
"542","gomec002",6
"543","perem005",9
"544","puelc001",5
"545","wallc001",7
"546","davij007",8
"547","desca001",9
"548","haysa001",2
"549","neuss001",8
"550","skolm001",6
"551","stanm004",4
"552","allea001",8
"553","cronk001",9
"554","estrt001",8
"555","mahlt001",9
"556","quanc001",9
"557","bishb001",9
"558","dinin001",9
"559","freek001",9
"560","urenr001",8
"561","collz001",8
"562","hills005",6
"563","lewik001",5
"564","walsj001",8
"565","higak001",8
"566","lambp001",9
"567","rodrd001",9
"568","velav001",9
"569","agrad001",9
"570","altha001",9
"571","barrf001",9
"572","goret001",8
"573","josec001",8
"574","murps001",8
"575","shucj001",7
"576","valeb001",9
"577","andes002",9
"578","bourp001",8
"579","fuenj001",6
"580","galli001",8
"581","gausk001",9
"582","gyorj001",9
"583","piven001",9
"584","solay001",2
"585","zagum002",9
"586","clart003",9
"587","elmoj001",7
"588","kempm001",4
"589","palkd001",8
"590","reeda002",7
"591","roart001",9
"592","thoml002",9
"593","yamaj001",9
"594","gonzc002",9
"595","gonzg003",9
"596","herne002",9
"597","leakm001",9
"598","strom001",9
"599","youna002",9
"600","blana002",1
"601","bradb002",6
"602","gallz001",9
"603","guill001",9
"604","hoffj003",9
"605","housa001",9
"606","lamed001",9
"607","rivey001",8
"608","strir001",9
"609","taylb003",9
"610","tuckk001",6
"611","wilsb002",8
"612","andum001",5
"613","chacj001",9
"614","fralj001",8
"615","morrl001",9
"616","obrip002",8
"617","urenj001",9
"618","godlz001",9
"619","mayfj001",8
"620","arroc001",9
"621","garca006",7
"622","gossp001",9
"623","sanca007",9
"624","stram001",9
"625","weavl001",9
"626","bauet001",9
"627","fedde001",9
"628","garcr005",5
"629","hillr001",9
"630","pomed001",9
"631","riose001",9
"632","smyld001",9
"633","trumm001",6
"634","wadel001",9
"635","almoa001",1
"636","eickj001",9
"637","hermm001",8
"638","mendd002",7
"639","raver001",9
"640","river003",8
"641","davir003",9
"642","herng001",7
"643","kramk001",7
"644","rossj002",9
"645","steva001",9
"646","brits001",8
"647","flahr001",9
"648","gratj001",8
"649","kiebc001",6
"650","peted002",6
"651","uriaj001",9
"652","velaa001",9
"653","willm007",7
"654","birdg001",5
"655","jacka002",8
"656","martj009",7
"657","morom001",8
"658","margn001",9
"659","ograb001",8
"660","wardt002",6
"661","wisdp001",7
"662","wongk002",7
"663","bonij002",6
"664","galer002",8
"665","garlk001",9
"666","gonst001",9
"667","hansa001",9
"668","holld003",9
"669","lorem002",8
"670","schwf001",5
"671","sierm002",1
"672","chatt001",9
"673","duggr001",9
"674","freid001",9
"675","lamar001",9
"676","lin-t001",9
"677","mahtm001",7
"678","mejie001",7
"679","shawc001",9
"680","stubg001",8
"681","waltd002",8
"682","centj001",9
"683","gerbm001",2
"684","jankt001",9
"685","lavar001",9
"686","leybd001",9
"687","milla003",9
"688","peraf001",9
