"","nameFirst","nameLast","BAT_ID","RE24","PA","Runs.Start","RE24_risp","PA_risp","Runs_Start_risp","RE24_no_risp","PA_no_risp","Runs_Start_no_risp"
"85","Peter","Bourjos","bourp001",-10.2250736786507,46,26.7836295635648,-6.50516501425903,13,13.0162232982683,-3.7199086643917,33,13.7674062652965
"86","Matt","Boyd","boydm001",-0.036034691116635,2,1.70146170350067,-0.443574989669129,1,1.16692284045496,0.407540298552494,1,0.53453886304571
"87","Brad","Brach","bracb001",1.10652921291884,5,3.07646937074477,1.76737889922546,2,2.01308423518971,-0.660849686306622,3,1.06338513555506
"88","Bobby","Bradley","bradb002",-3.25237469670417,49,26.9387187304835,-2.08540138372976,11,10.8683361292635,-1.16697331297441,38,16.0703826012199
"89","Jackie","Bradley","bradj001",-8.92169414994079,567,299.207605943187,-4.42889087114435,140,132.211195723838,-4.49280327879644,427,166.996410219349
"90","Michael","Brantley","branm003",26.0935834930518,637,331.40339613473,19.5652453183137,158,139.12608243413,6.52833817473806,479,192.2773137006
"91","Ryan","Braun","braur002",12.6663673484866,508,256.542404870184,8.27056624940216,127,110.561986779138,4.39580109908441,381,145.980418091046
"92","Steven","Brault","braus002",-3.29733652101724,50,26.6840843572291,-1.5626969683647,10,8.09687764728805,-1.73463955265253,40,18.587206709941
"93","Alex","Bregman","brega001",52.5771008550225,690,356.07797451816,7.21306334361004,166,155.678984590329,45.3640375114124,524,200.398989927831
"94","Lewis","Brinson","brinl001",-23.5612327148256,248,125.035722627606,-7.82855307024193,52,47.8524827722203,-15.7326796445837,196,77.1832398553854
"95","Socrates","Brito","brits001",-6.27662304113968,43,22.2472570560005,-0.365711465708176,10,9.99662947108846,-5.91091157543151,33,12.250627584912
"96","Aaron","Brooks","brooa001",-0.938215573306652,4,1.78101688533122,-0.392242820446607,1,0.996280087527352,-0.545972752860045,3,0.784736797803865
"97","Mike","Brosseau","brosm001",2.1488917740853,142,71.7812443828035,0.921715097797284,32,27.8894149445407,1.22717667628802,110,43.8918294382629
"98","Seth","Brown","brows003",1.62420784765354,83,53.0578638588437,0.227867978401045,33,31.4031236978414,1.3963398692525,50,21.6547401610023
"99","Keon","Broxton","broxk001",-23.3603778749441,228,123.32404142048,-16.3556465387702,59,52.3594541566957,-7.00473133617393,169,70.9645872637843
"100","Jay","Bruce","brucj001",-0.911729776099934,332,161.721400074889,-3.16559948756617,87,74.0306069023397,2.25386971146624,245,87.6907931725489
"101","Kris","Bryant","bryak001",27.1335853572334,634,300.644936748934,1.40654526285101,125,104.824618571101,25.7270400943824,509,195.820318177832
